block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_trigger_block,default,16,0,16,0.228958,0.043862,0.065853,0.304611,0.398857,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.189845,0.179136,0.240330,0.808834,0.936002,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.036167,0.140273,0.179947,0.478466,0.544409,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.048551,0.406481,0.453208,1.074171,1.164650,9248
vandorlabs:programmable_wall,default,16,0,16,0.014607,0.090249,0.123972,0.355295,0.417291,8736
vandorlabs:programmable_wall,default,64,0,64,0.025968,0.252603,0.290023,0.695091,0.778447,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.711261,0.107411,0.122259,0.456455,0.514914,64
vandorlabs:rocket_thruster,default,64,21504,0,2.473891,0.348723,0.384861,1.121229,1.206399,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.439555,0.252763,0.282729,0.777215,0.838920,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.300755,0.196648,0.216655,0.724747,0.777155,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.222949,0.050214,0.065623,0.463198,0.527628,64
