block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_porthole_wall,default,64,0,64,0.024486,0.834221,1.120227,1.573566,1.809658,71200
vandorlabs:programmable_porthole_wall,round_joined,64,0,64,0.027391,0.764260,0.829142,1.474090,1.545444,65376
vandorlabs:programmable_porthole_wall,round_unjoined,64,0,64,0.026119,1.335580,1.406102,2.207643,2.334210,75296
vandorlabs:programmable_ramp,default,16,384,0,0.175980,0.017092,0.029124,0.235290,0.284633,64
vandorlabs:programmable_ramp,default,64,1536,0,0.408866,0.039163,0.053390,0.460312,0.522528,64
vandorlabs:programmable_slab,default,16,384,16,0.561561,0.018575,0.034194,0.228247,0.268703,64
vandorlabs:programmable_slab,default,64,1536,64,0.497181,0.043952,0.068619,0.380773,0.429845,64
vandorlabs:programmable_slab,floor_8x8,64,640,64,0.394669,0.034385,0.061235,0.265216,0.336721,64
vandorlabs:programmable_slab,solid_4x4x4,64,768,64,0.405179,0.026920,0.044062,0.262211,0.324016,64
vandorlabs:programmable_slab,facing_down,16,384,16,0.185638,0.017052,0.045785,0.236713,0.357139,64
vandorlabs:programmable_slab,facing_up,16,384,16,0.173345,0.017874,0.034766,0.239097,0.312835,64
vandorlabs:programmable_slab,facing_north,16,384,16,0.231573,0.021460,0.035507,0.235190,0.292999,64
vandorlabs:programmable_slab,facing_south,16,384,16,0.202479,0.017222,0.043051,0.229440,0.301795,64
vandorlabs:programmable_slab,facing_west,16,384,16,0.166833,0.016671,0.032882,0.231474,0.275366,64
vandorlabs:programmable_slab,facing_east,16,384,16,0.172933,0.015479,0.035166,0.229309,0.283862,64
vandorlabs:programmable_slab,upper_tiled,16,384,16,0.170209,0.017453,0.039755,0.218869,0.270757,64
vandorlabs:programmable_trigger_block,default,16,0,16,0.235641,0.042990,0.057368,0.318156,0.373790,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.190116,0.139681,0.174627,0.759302,0.844041,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.022693,0.154960,0.207738,0.485759,0.576198,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.062667,0.405139,0.463669,1.113143,1.299543,9248
vandorlabs:programmable_wall,default,16,0,16,0.085870,0.084668,0.120987,0.355426,0.459190,8736
vandorlabs:programmable_wall,default,64,0,64,0.019486,0.270055,0.366325,0.713445,0.802352,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.692306,0.103835,0.127799,0.451135,0.547926,64
vandorlabs:rocket_thruster,default,64,21504,0,2.366260,0.344816,0.381173,1.110058,1.180059,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.477596,0.259696,0.298850,0.802151,0.878094,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.230183,0.207268,0.229499,0.735317,0.866953,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.259839,0.048641,0.064741,0.469218,0.513291,64
