block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_porthole_wall,default,16,0,16,0.013416,0.224491,0.286927,0.555199,0.675725,17824
vandorlabs:programmable_porthole_wall,default,64,0,64,0.022342,0.865500,1.242116,1.633849,2.055308,71200
vandorlabs:programmable_porthole_wall,round_joined,64,0,64,0.024726,0.795900,1.199917,1.572013,1.939972,69472
vandorlabs:programmable_porthole_wall,round_unjoined,64,0,64,0.025047,1.367630,1.462428,2.330673,2.591101,75296
vandorlabs:programmable_ramp,default,16,384,0,0.182431,0.017242,0.030748,0.244848,0.287749,64
vandorlabs:programmable_ramp,default,64,1536,0,0.426398,0.043872,0.058960,0.447107,0.544188,64
vandorlabs:programmable_slab,default,16,384,0,0.611635,0.017022,0.027401,0.226434,0.259476,64
vandorlabs:programmable_slab,default,64,1536,0,0.786834,0.040255,0.049152,0.366185,0.455022,64
vandorlabs:programmable_slab,floor_8x8,64,640,0,0.408405,0.026069,0.039955,0.247203,0.324157,64
vandorlabs:programmable_slab,solid_4x4x4,64,768,0,0.391112,0.024346,0.038252,0.250559,0.281928,64
vandorlabs:programmable_slab,facing_down,16,384,0,0.163405,0.021139,0.057007,0.238546,0.315300,64
vandorlabs:programmable_slab,facing_up,16,384,0,0.168335,0.016280,0.030937,0.219000,0.276809,64
vandorlabs:programmable_slab,facing_north,16,384,0,0.181931,0.019547,0.031348,0.245029,0.308307,64
vandorlabs:programmable_slab,facing_south,16,384,0,0.182411,0.016451,0.028173,0.233517,0.290674,64
vandorlabs:programmable_slab,facing_west,16,384,0,0.175719,0.017542,0.029465,0.237615,0.278893,64
vandorlabs:programmable_slab,facing_east,16,384,0,0.172282,0.015158,0.029816,0.237995,0.287498,64
vandorlabs:programmable_slab,upper_tiled,16,384,0,0.190086,0.015289,0.028283,0.222236,0.267100,64
vandorlabs:programmable_trigger_block,default,16,0,16,0.150512,0.054583,0.094166,0.351659,0.404497,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.270045,0.217467,0.361006,0.878204,1.006765,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.021140,0.144650,0.195666,0.477173,0.560299,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.059852,0.398065,0.454571,1.084731,1.178476,9248
vandorlabs:programmable_wall,default,16,0,16,0.068318,0.074449,0.119634,0.347561,0.412042,8736
vandorlabs:programmable_wall,default,64,0,64,0.018154,0.243225,0.280415,0.680955,0.770913,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.724166,0.100518,0.130514,0.456274,0.502501,64
vandorlabs:rocket_thruster,default,64,21504,0,2.429618,0.345818,0.377396,1.121990,1.185499,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.418997,0.253474,0.274474,0.792614,0.836116,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.231927,0.193072,0.219431,0.719698,0.776905,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.268425,0.046747,0.061315,0.455814,0.527798,64
